RankRank,Player NamePlayer,TeamTeam,Blocksstuff-blocks,ErrorsSE,ReboundsREB,Average per matchaverage-per-match,Efficiency %Eff,TotalTA
1,Julia,BRA,63,57,67,4.2,3.21,187
2,Korneluk,POL,45,43,69,3.0,1.27,157
3,Kurtagić,SRB,43,61,65,3.58,-10.65,169
4,Jehlarova,CZE,41,51,74,3.42,-6.02,166
5,Cekulaev,GER,38,54,60,2.92,-10.53,152
6,Diana,BRA,36,44,68,2.77,-5.41,148
7,Wang Y.Y.,CHN,35,55,58,2.69,-13.51,148
7,Aleksić,SRB,35,33,46,4.38,1.75,114
8,Maglio,CAN,33,67,88,2.75,-18.09,188
9,B. Martinez,DOM,32,29,35,2.67,3.12,96
10,Fahr,ITA,30,72,96,2.0,-21.21,198
10,Weitzel,GER,30,41,81,2.31,-7.24,152
11,Danesi,ITA,29,60,79,1.93,-18.45,168
12,Sylves,FRA,28,38,49,2.33,-8.7,115
13,Gryka,POL,25,33,45,1.67,-7.77,103
13,Zhuang Y.S.,CHN,25,32,42,1.92,-7.07,99
14,Fanguedou,FRA,24,49,85,2.0,-15.82,158
14,DAHYEON,KOR,24,51,53,2.0,-21.09,128
15,Kalaç,TUR,23,28,63,1.77,-4.39,114
15,Smrek,CAN,23,30,33,1.92,-8.14,86
16,Egonu,ITA,22,23,40,1.47,-1.18,85
16,Antropova,ITA,22,13,25,2.0,15.0,60
17,Igiede,USA,21,29,39,2.33,-8.99,89
17,Gaila,DOM,21,47,49,1.75,-22.22,117
17,Vuchkova,BUL,21,50,59,2.62,-22.31,130
17,Stoyanova,BUL,21,25,34,1.75,-5.0,80
18,Ndiaye,FRA,20,32,30,1.67,-14.63,82
18,N.Thatdao,THA,20,40,75,1.67,-14.81,135
18,HOYOUNG,KOR,20,37,52,1.67,-15.6,109
18,Schölzel,GER,20,29,32,1.54,-11.11,81
19,Uyanık,TUR,19,21,37,1.46,-2.6,77
19,J. Martinez,DOM,19,41,65,1.58,-17.6,125
19,Butler,USA,19,33,30,2.11,-17.07,82
20,Grozer,CZE,18,25,14,1.5,-12.28,57
20,Güneş,TUR,18,32,40,2.0,-15.56,90
21,Łukasik,POL,17,23,24,1.13,-9.38,64
21,Shimamura,JPN,17,44,64,1.31,-21.6,125
21,Gonzalez,DOM,17,28,46,1.42,-12.09,91
21,Dimitrova N.,BUL,17,38,36,2.12,-23.08,91
21,Johnson,CAN,17,24,32,1.42,-9.59,73
22,Gong X.Y.,CHN,16,42,43,1.23,-25.74,101
22,Arias,DOM,16,24,24,2.67,-12.5,64
22,Bergmann,BRA,16,36,24,1.07,-26.32,76
22,Vargas,TUR,16,21,33,1.78,-7.14,70
23,Wu M.J.,CHN,15,28,29,1.25,-18.06,72
23,Stuut,NED,15,35,56,1.25,-18.87,106
23,Lorena,BRA,15,43,39,1.0,-28.87,97
23,Jurczyk,POL,15,24,33,1.36,-12.5,72
24,Stysiak,POL,14,36,49,0.93,-22.22,99
24,Koulisiani,CZE,14,39,57,1.17,-22.73,110
24,Alsmeier,GER,14,23,25,1.08,-14.52,62
24,Weske,GER,14,16,23,1.08,-3.77,53
25,T.Wimonrat,THA,13,41,32,1.08,-32.56,86
25,Czyrniańska,POL,13,32,25,0.87,-27.14,70
25,Smarzek,POL,13,27,24,0.87,-21.88,64
25,Martin,BEL,13,29,18,1.08,-26.67,60
25,McCage,USA,13,22,17,1.62,-17.31,52
25,Brancuska,CZE,13,29,36,1.08,-20.51,78
25,Gabi,BRA,13,14,15,1.44,-2.38,42
26,Lemmens,BEL,12,37,59,1.0,-23.15,108
26,Van Avermaet,BEL,12,27,47,1.5,-17.44,86
26,Airi,JPN,12,44,48,0.8,-30.77,104
26,Degradi,ITA,12,23,31,0.8,-16.67,66
27,Chen H. Y.,CHN,11,38,45,0.85,-28.72,94
27,Van Aalen,NED,11,13,25,0.92,-4.08,49
27,Vos,NED,11,24,26,0.92,-21.31,61
27,Bukovska,CZE,11,13,11,0.92,-5.71,35
27,White,CAN,11,24,43,1.1,-16.67,78
27,Rettke,USA,11,27,47,1.38,-18.82,85
28,Kok,NED,10,29,26,0.83,-29.23,65
28,Ana Cristina,BRA,10,14,12,1.0,-11.11,36
28,Jimerson,USA,10,11,15,2.0,-2.78,36
29,Koulberg,BEL,9,22,24,0.75,-23.64,55
29,Franklin,USA,9,20,16,0.69,-24.44,45
29,Mlejnkova,CZE,9,20,24,0.75,-20.75,53
29,Milanova A.,BUL,9,28,26,0.75,-30.16,63
29,Straube,GER,9,23,34,0.69,-21.21,66
29,Karakurt,TUR,9,13,13,1.0,-11.43,35
30,Karutasu,TUR,8,18,12,1.6,-26.32,38
30,K.Pimpichaya,THA,8,24,38,0.67,-22.86,70
30,Sato,JPN,8,29,37,0.53,-28.38,74
30,M. Skinner,USA,8,17,25,0.67,-18.0,50
30,Eggleston,USA,8,21,25,0.62,-24.07,54
30,Sylla,ITA,8,16,17,0.73,-19.51,41
30,Dangubić,SRB,8,23,8,0.67,-38.46,39
30,Pelland,CAN,8,13,24,0.67,-11.11,45
30,Thokbuom,CAN,8,31,48,0.8,-26.44,87
30,Krivoshiyska,BUL,8,22,30,1.0,-23.33,60
31,Haewegene,FRA,7,13,14,0.58,-17.65,34
31,Erkek,TUR,7,27,24,0.54,-34.48,58
31,Gerritsen,NED,7,15,25,0.58,-17.02,47
31,Orro,ITA,7,12,44,0.64,-7.94,63
31,Osmajic,SRB,7,16,13,0.58,-25.0,36
31,Uzelac,SRB,7,19,12,0.88,-31.58,38
31,Ivanović,SRB,7,20,17,0.58,-29.55,44
31,Atanasijević,BUL,7,17,23,0.88,-21.28,47
31,Kindermann,GER,7,22,18,0.54,-31.91,47
31,A. Saykova,BUL,7,15,27,0.88,-16.33,49
31,Elouga,FRA,7,5,6,1.75,11.11,18
32,Rotar,FRA,6,11,5,0.5,-22.73,22
32,Ngolongolo,FRA,6,7,6,0.5,-5.26,19
32,Özdemir,TUR,6,11,24,0.67,-12.2,41
32,Ozden,TUR,6,13,15,0.67,-20.59,34
32,Grabka,POL,6,3,13,0.4,13.64,22
32,Herbots,BEL,6,19,16,0.75,-31.71,41
32,Baijens,NED,6,10,21,1.5,-10.81,37
32,Nwakalor L.,ITA,6,6,4,0.4,0.0,16
32,Kirov,SRB,6,6,2,0.5,0.0,14
32,Bukilić,SRB,6,7,14,0.5,-3.7,27
32,Perović,SRB,6,8,10,0.6,-8.33,24
32,Tainara,BRA,6,27,19,0.4,-40.38,52
32,Guezen,CAN,6,20,25,0.5,-27.45,51
32,SOHWI,KOR,6,19,27,0.5,-25.0,52
32,Bošković,SRB,6,10,13,1.5,-13.79,29
32,Kisal,TUR,6,18,24,1.5,-25.0,48
32,Cuttino,USA,6,7,3,3.0,-6.25,16
33,Schalk,FRA,5,4,12,0.45,4.76,21
33,Cebecioğlu,TUR,5,1,3,0.62,44.44,9
33,G.Pornpun,THA,5,21,26,0.42,-30.77,52
33,S. Thanacha,THA,5,13,12,0.42,-26.67,30
33,Radovic,BEL,5,11,24,0.42,-15.0,40
33,Verhelst,BEL,5,7,12,0.42,-8.33,24
33,Daalderop,NED,5,15,15,0.42,-28.57,35
33,Dambrink,NED,5,21,39,0.42,-24.62,65
33,Ishikawa,JPN,5,31,29,0.33,-40.0,65
33,Wada,JPN,5,25,47,0.33,-25.97,77
33,Lednicky,USA,5,9,15,0.62,-13.79,29
33,Ka'aha'aina-Torres,USA,5,18,24,0.56,-27.66,47
33,Cambi,ITA,5,7,18,0.33,-6.67,30
33,Peña Isabel,DOM,5,19,17,0.42,-34.15,41
33,Valkova,CZE,5,30,54,0.42,-28.09,89
33,Slavcheva,BUL,5,14,26,0.42,-20.0,45
33,Van Ryk,CAN,5,9,10,1.25,-16.67,24
33,SEONWOO,KOR,5,17,24,0.42,-26.09,46
33,Grozer,GER,5,8,13,0.62,-11.54,26
33,Strubbe,GER,5,10,12,0.38,-18.52,27
33,Marinova,BUL,5,14,35,0.62,-16.67,54
33,Cazaute,FRA,5,18,37,0.62,-21.67,60
33,Centka-Tietianiec,POL,5,19,17,0.45,-34.15,41
34,S. Sahin,TUR,4,7,11,0.31,-13.64,22
34,Baladın,TUR,4,17,17,0.44,-34.21,38
34,E. Şahin,TUR,4,6,12,0.33,-9.09,22
34,Damaske,POL,4,6,11,0.27,-9.52,21
