RankRank,Player NamePlayer,TeamTeam,Digsgreat-save,ErrorsSE,ReceptionsRec,Average per matchaverage-per-match,Success %Success %,TotalTA
1,Gelin,FRA,180,52,63,15.0,61.02,295
2,Szczygłowska,POL,165,45,66,11.0,59.78,276
3,De Gennaro,ITA,160,30,53,10.67,65.84,243
4,Y. Rodriguez,DOM,135,68,74,11.25,48.74,277
5,Ishikawa,JPN,134,45,44,8.93,60.09,223
6,DAHYE,KOR,128,45,63,10.67,54.24,236
7,Milanova A.,BUL,124,34,43,10.33,61.69,201
8,Gong X.Y.,CHN,122,31,55,9.38,58.65,208
9,Sato,JPN,115,30,44,7.67,60.85,189
10,Pogany,GER,112,56,59,8.62,49.34,227
11,Rampelberg,BEL,111,46,53,9.25,52.86,210
11,Mlejnkova,CZE,111,37,57,9.25,54.15,205
12,Wada,JPN,110,22,54,7.33,59.14,186
13,Reesink,NED,103,59,52,8.58,48.13,214
13,Alsmeier,GER,103,33,49,7.92,55.68,185
14,Bergmann,BRA,97,26,37,6.47,60.62,160
15,B. Martinez,DOM,94,34,55,7.83,51.37,183
16,Digrinova,CZE,92,56,61,7.67,44.02,209
17,P.Piyanut,THA,88,26,53,7.33,52.69,167
17,Zhuang Y.S.,CHN,88,41,50,6.77,49.16,179
17,Valkova,CZE,88,28,55,7.33,51.46,171
18,Łukasik,POL,87,32,33,5.8,57.24,152
18,Jost,CAN,87,48,42,7.91,49.15,177
19,SOHWI,KOR,86,23,34,7.17,60.14,143
20,Jegdić,SRB,85,21,46,7.73,55.92,152
21,Ni F.F.,CHN,84,50,60,6.46,43.3,194
22,Wang M.J.,CHN,82,17,30,6.31,63.57,129
22,Gaila,DOM,82,35,44,6.83,50.93,161
23,Seki,JPN,80,39,74,5.33,41.45,193
23,Seoyoung,KOR,80,18,44,6.67,56.34,142
24,Degradi,ITA,79,19,27,5.27,63.2,125
25,Martin,BEL,77,34,23,6.42,57.46,134
26,Grozer,CZE,76,25,49,6.33,50.67,150
27,Van Aalen,NED,75,16,31,6.25,61.48,122
27,Lais,BRA,75,28,23,5.0,59.52,126
28,Dambrink,NED,74,20,22,6.17,63.79,116
28,Karabasheva,BUL,74,24,31,8.22,57.36,129
29,K.Pimpichaya,THA,73,36,42,6.08,48.34,151
29,Czyrniańska,POL,73,30,28,4.87,55.73,131
29,Vos,NED,73,20,26,6.08,61.34,119
29,Orro,ITA,73,20,41,6.64,54.48,134
29,Cazaute,FRA,73,19,31,9.12,59.35,123
29,Rodriguez,USA,73,26,21,8.11,60.83,120
30,Stysiak,POL,71,21,38,4.73,54.62,130
30,Brancuska,CZE,71,21,39,5.92,54.2,131
