RankRank,Player NamePlayer,TeamTeam,SuccesfulSuccesful,ErrorsSE,AttempsAtt,Average per matchaverage-per-match,Success %Success %,TotalTA
1,Ishikawa,JPN,121,10,227,8.07,33.8,358
2,Alsmeier,GER,111,23,249,8.54,28.98,383
3,Milanova A.,BUL,95,17,242,7.92,26.84,354
4,Sato,JPN,90,11,219,6.0,28.12,320
5,Bergmann,BRA,89,22,287,5.93,22.36,398
6,Szczygłowska,POL,76,3,118,5.07,38.58,197
7,Gelin,FRA,74,10,145,6.17,32.31,229
8,Zhuang Y.S.,CHN,73,11,165,5.62,29.32,249
9,Łukasik,POL,66,8,204,4.4,23.74,278
9,Uzelac,SRB,66,10,167,8.25,27.16,243
10,P.Piyanut,THA,65,12,132,5.42,31.1,209
11,Gong X.Y.,CHN,64,7,144,4.92,29.77,215
12,Herbots,BEL,62,9,157,7.75,27.19,228
12,Degradi,ITA,62,6,187,4.13,24.31,255
12,Mitrovic,CAN,62,15,218,5.17,21.02,295
13,Digrinova,CZE,60,9,164,5.0,25.75,233
14,Ivanović,SRB,57,14,159,4.75,24.78,230
14,Mlejnkova,CZE,57,15,239,4.75,18.33,311
15,Jegdić,SRB,56,11,100,5.09,33.53,167
16,Erkek,TUR,54,9,125,4.15,28.72,188
16,Seoyoung,KOR,54,17,247,4.5,16.98,318
17,Sylla,ITA,52,12,160,4.73,23.21,224
18,S.Warisara,THA,51,8,179,4.25,21.43,238
18,Czyrniańska,POL,51,13,207,3.4,18.82,271
18,Radovic,BEL,51,13,163,4.25,22.47,227
18,Cazaute,FRA,51,8,138,6.38,25.89,197
19,Rampelberg,BEL,50,19,143,4.17,23.58,212
19,Franklin,USA,50,14,174,3.85,21.01,238
20,Guezen,CAN,48,13,169,4.0,20.87,230
20,SOHWI,KOR,48,16,219,4.0,16.96,283
21,Vos,NED,47,16,149,3.92,22.17,212
21,Pogany,GER,47,9,107,3.62,28.83,163
22,Ni F.F.,CHN,46,8,116,3.54,27.06,170
22,Kok,NED,46,18,177,3.83,19.09,241
23,Eggleston,USA,45,16,171,3.46,19.4,232
23,Grozer,CZE,45,15,167,3.75,19.82,227
23,Gabi,BRA,45,6,73,5.0,36.29,124
24,Peña Isabel,DOM,44,10,187,3.67,18.26,241
24,Lais,BRA,44,6,102,2.93,28.95,152
25,Dangubić,SRB,42,9,169,3.5,19.09,220
25,DAHYE,KOR,42,8,144,3.5,21.65,194
26,Reesink,NED,40,16,159,3.33,18.6,215
26,Nervini,ITA,40,7,107,3.64,25.97,154
26,Örge,TUR,40,4,95,4.44,28.78,139
27,De Gennaro,ITA,39,5,59,2.6,37.86,103
27,Jost,CAN,39,7,113,3.55,24.53,159
28,Wu M.J.,CHN,38,12,142,3.17,19.79,192
28,Marcelle,BRA,38,8,62,5.43,35.19,108
29,Ana Cristina,BRA,36,11,149,3.6,18.37,196
29,Atanasijević,BUL,36,10,143,4.5,19.05,189
30,Pashkuleva,BUL,35,7,54,8.75,36.46,96
31,S. Sahin,TUR,34,4,73,2.62,30.63,111
31,Y. Rodriguez,DOM,34,18,132,2.83,18.48,184
31,Karabasheva,BUL,34,13,119,3.78,20.48,166
31,Johnson,CAN,34,17,168,2.83,15.53,219
32,Haewegene,FRA,33,9,164,2.75,16.02,206
32,Baladın,TUR,33,4,112,3.67,22.15,149
32,Rodriguez,USA,33,3,68,3.67,31.73,104
33,K.Ajcharaporn,THA,31,11,101,2.58,21.68,143
34,Jones-Perry,USA,30,7,126,2.73,18.4,163
34,Piasecka,POL,30,17,85,2.73,22.73,132
35,Schalk,FRA,28,12,91,2.55,21.37,131
35,Rotar,FRA,28,10,74,2.33,25.0,112
36,B. Martinez,DOM,27,24,257,2.25,8.77,308
37,Demeyer,BEL,26,10,136,2.17,15.12,172
38,Grozer,GER,25,7,95,3.12,19.69,127
38,Karakurt,TUR,25,5,96,2.78,19.84,126
39,Wang M.J.,CHN,24,7,87,1.85,20.34,118
39,Stanchulova,BUL,24,12,56,2.0,26.09,92
39,A. Skinner,USA,24,9,91,6.0,19.35,124
40,Giovannini,ITA,23,8,52,1.53,27.71,83
40,Stautz,GER,23,10,85,1.77,19.49,118
41,Aköz,TUR,22,2,50,2.44,29.73,74
41,Damaske,POL,22,6,87,1.47,19.13,115
41,Daalderop,NED,22,3,114,1.83,15.83,139
41,Stigrot,GER,22,6,77,4.4,20.95,105
42,Kojima,JPN,20,4,82,2.0,18.87,106
