RankRank,Player NamePlayer,TeamTeam,Pointsserve-points,ErrorsSE,AttempsAtt,Average per matchaverage-per-match,Success %Success %,TotalTA
1,Ndiaye,FRA,23,38,109,1.92,13.53,170
2,Weitzel,GER,20,21,175,1.54,9.26,216
3,Ishikawa,JPN,19,28,172,1.27,8.68,219
4,Łukasik,POL,18,7,138,1.2,11.04,163
4,Gaila,DOM,18,21,124,1.5,11.04,163
4,Koulisiani,CZE,18,20,149,1.5,9.63,187
5,Sato,JPN,16,31,140,1.07,8.56,187
6,Van Ryk,CAN,15,15,40,3.75,21.43,70
7,Wu M.J.,CHN,13,17,176,1.08,6.31,206
7,Bergmann,BRA,13,22,202,0.87,5.49,237
8,Antropova,ITA,12,16,57,1.09,14.12,85
8,Vargas,TUR,12,28,71,1.33,10.81,111
9,Seki,JPN,11,7,161,0.73,6.15,179
9,Degradi,ITA,11,10,143,0.73,6.71,164
9,Stoyanova,BUL,11,17,81,0.92,10.09,109
9,Straube,GER,11,15,120,0.85,7.53,146
10,Karutasu,TUR,10,16,45,2.0,14.08,71
10,Zhuang Y.S.,CHN,10,15,156,0.77,5.52,181
10,Lemmens,BEL,10,13,129,0.83,6.58,152
10,Wada,JPN,10,30,111,0.67,6.62,151
10,Airi,JPN,10,8,143,0.67,6.21,161
10,Egonu,ITA,10,33,75,0.67,8.47,118
10,A. Rodriguez,DOM,10,16,149,0.83,5.71,175
10,Kurtagić,SRB,10,26,108,0.83,6.94,144
10,Uzelac,SRB,10,24,88,1.25,8.2,122
10,Ana Cristina,BRA,10,13,92,1.0,8.7,115
11,Wenerska,POL,9,22,164,0.6,4.62,195
11,Gong X.Y.,CHN,9,5,173,0.69,4.81,187
11,Martin,BEL,9,14,93,0.75,7.76,116
11,Stuut,NED,9,11,141,0.75,5.59,161
11,SEONWOO,KOR,9,23,72,0.75,8.65,104
11,Alsmeier,GER,9,29,115,0.69,5.88,153
11,Cazaute,FRA,9,20,73,1.12,8.82,102
12,Danard Selosse,FRA,8,13,140,0.67,4.97,161
12,Czyrniańska,POL,8,26,127,0.53,4.97,161
12,Vos,NED,8,24,66,0.67,8.16,98
12,Dambrink,NED,8,15,101,0.67,6.45,124
12,Fahr,ITA,8,22,146,0.53,4.55,176
12,YUNJU,KOR,8,10,61,0.67,10.13,79
12,Weske,GER,8,7,90,0.62,7.62,105
12,Aleksić,SRB,8,9,91,1.0,7.41,108
13,Uyanık,TUR,7,10,48,0.54,10.77,65
13,Zhang Z.X.,CHN,7,10,187,0.54,3.43,204
13,Radovic,BEL,7,4,81,0.58,7.61,92
13,Demeyer,BEL,7,15,69,0.58,7.69,91
13,Daalderop,NED,7,3,66,0.58,9.21,76
13,Julia,BRA,7,13,130,0.47,4.67,150
13,Roberta,BRA,7,9,88,0.47,6.73,104
13,Smrek,CAN,7,26,74,0.58,6.54,107
13,Maglio,CAN,7,16,134,0.58,4.46,157
13,DAIN,KOR,7,6,146,0.64,4.4,159
14,Fanguedou,FRA,6,24,123,0.5,3.92,153
14,Sylves,FRA,6,15,88,0.5,5.5,109
14,Kalaç,TUR,6,12,85,0.46,5.83,103
14,Erkek,TUR,6,6,128,0.46,4.29,140
14,S.Warisara,THA,6,9,107,0.5,4.92,122
14,Chen H. Y.,CHN,6,5,127,0.46,4.35,138
14,Van Aalen,NED,6,12,141,0.5,3.77,159
14,M. Skinner,USA,6,14,65,0.5,7.06,85
14,Jones-Perry,USA,6,16,58,0.55,7.5,80
14,Bukilić,SRB,6,15,51,0.5,8.33,72
