RankRank,Player NamePlayer,TeamTeam,Blocksstuff-blocks,ErrorsSE,ReboundsREB,Average per matchaverage-per-match,Efficiency %Eff,TotalTA
1,Korneluk,POL,17,10,18,5.67,15.56,45
2,Danesi,ITA,11,8,22,3.67,7.32,41
2,Julia,BRA,11,19,21,3.67,-15.69,51
3,Diana,BRA,10,15,22,3.33,-10.64,47
4,Fahr,ITA,7,8,18,2.33,-3.03,33
4,Gabi,BRA,7,6,11,2.33,4.17,24
4,Kalaç,TUR,7,3,18,7.0,14.29,28
5,Antropova,ITA,6,5,6,2.0,5.88,17
5,Jurczyk,POL,6,5,14,2.0,4.0,25
6,Stysiak,POL,5,8,7,1.67,-15.0,20
6,Wang Y.Y.,CHN,5,5,10,5.0,0.0,20
6,Shimamura,JPN,5,14,15,1.67,-26.47,34
7,Airi,JPN,4,11,15,1.33,-23.33,30
8,Sylla,ITA,3,6,6,1.0,-20.0,15
8,Bergmann,BRA,3,11,8,1.0,-36.36,22
8,Cekulaev,GER,3,4,3,3.0,-10.0,10
8,Sato,JPN,3,7,12,1.0,-18.18,22
8,Vargas,TUR,3,1,4,3.0,25.0,8
9,Egonu,ITA,2,5,11,0.67,-16.67,18
9,Poulter,USA,2,1,2,2.0,20.0,5
9,Igiede,USA,2,0,3,2.0,40.0,5
9,Czyrniańska,POL,2,17,8,0.67,-55.56,27
9,Smarzek,POL,2,4,3,0.67,-22.22,9
9,Damaske,POL,2,2,2,0.67,0.0,6
9,Gong X.Y.,CHN,2,8,8,2.0,-33.33,18
9,Macris,BRA,2,6,5,0.67,-30.77,13
9,Straube,GER,2,1,1,2.0,25.0,4
9,Seki,JPN,2,5,15,0.67,-13.64,22
9,Güneş,TUR,2,4,9,2.0,-13.33,15
10,Cambi,ITA,1,0,3,0.33,25.0,4
10,Orro,ITA,1,6,19,0.33,-19.23,26
10,Rettke,USA,1,3,8,1.0,-16.67,12
10,Franklin,USA,1,4,1,1.0,-50.0,6
10,Gryka,POL,1,6,11,0.33,-27.78,18
10,Łukasik,POL,1,4,3,0.33,-37.5,8
10,Wu M.J.,CHN,1,2,3,1.0,-16.67,6
10,Zhuang Y.S.,CHN,1,2,6,1.0,-11.11,9
10,Tang X.,CHN,1,0,0,1.0,100.0,1
10,Yin X. L.,CHN,1,0,2,1.0,33.33,3
10,Rosamaria,BRA,1,6,13,0.33,-25.0,20
10,Roberta,BRA,1,5,5,0.33,-36.36,11
10,Helena,BRA,1,1,2,0.33,0.0,4
10,Kisy,BRA,1,1,4,0.33,0.0,6
10,Araki,JPN,1,3,2,0.33,-33.33,6
10,Ishikawa,JPN,1,9,6,0.33,-50.0,16
10,Wada,JPN,1,5,12,0.33,-22.22,18
10,Erkek,TUR,1,3,2,1.0,-33.33,6
11,Gray,ITA,0,0,0,,,0
11,Degradi,ITA,0,1,4,0.0,-20.0,5
11,De Gennaro,ITA,0,0,0,,,0
11,Fersino,ITA,0,0,0,,,0
11,Nwakalor L.,ITA,0,0,0,,,0
11,Nervini,ITA,0,1,4,0.0,-20.0,5
11,Giovannini,ITA,0,0,1,0.0,0.0,1
11,A. Skinner,USA,0,3,2,0.0,-60.0,5
11,Hentz,USA,0,0,0,,,0
11,Rodriguez,USA,0,0,0,,,0
11,Butler,USA,0,0,0,,,0
11,M. Skinner,USA,0,1,2,0.0,-33.33,3
11,Lanier,USA,0,0,2,0.0,0.0,2
11,Jimerson,USA,0,0,0,,,0
11,Ka'aha'aina-Torres,USA,0,0,0,,,0
11,Eggleston,USA,0,0,0,,,0
11,Samedy,USA,0,1,2,0.0,-33.33,3
11,Piasecka,POL,0,0,0,,,0
11,Szczygłowska,POL,0,0,0,,,0
11,Łysiak,POL,0,0,0,,,0
11,Centka-Tietianiec,POL,0,0,0,,,0
11,Grabka,POL,0,1,2,0.0,-33.33,3
11,Wenerska,POL,0,11,5,0.0,-68.75,16
11,Wan Z. Y.,CHN,0,0,0,,,0
11,Fan B. N.,CHN,0,0,0,,,0
11,Dong Y. H.,CHN,0,0,0,,,0
11,Chen H. Y.,CHN,0,2,5,0.0,-28.57,7
11,Wang A. Q.,CHN,0,0,0,,,0
11,Ni F.F.,CHN,0,0,0,,,0
11,Wang M.J.,CHN,0,0,0,,,0
11,Zhang Z.X.,CHN,0,5,7,0.0,-41.67,12
11,Lorena,BRA,0,0,0,,,0
11,Jheovana,BRA,0,0,0,,,0
11,Tainara,BRA,0,3,1,0.0,-75.0,4
11,Lais,BRA,0,0,0,,,0
11,Marcelle,BRA,0,0,0,,,0
11,Cesar,GER,0,0,0,,,0
11,Pogany,GER,0,0,0,,,0
11,Glaab,GER,0,0,0,,,0
11,Stautz,GER,0,0,0,,,0
11,Alsmeier,GER,0,3,0,0.0,-100.0,3
11,Stigrot,GER,0,4,3,0.0,-57.14,7
11,Orthmann,GER,0,0,1,0.0,0.0,1
11,Weske,GER,0,0,0,,,0
11,Schölzel,GER,0,2,1,0.0,-66.67,3
11,Kindermann,GER,0,3,0,0.0,-100.0,3
11,Weitzel,GER,0,2,4,0.0,-33.33,6
11,Strubbe,GER,0,0,0,,,0
11,Kojima,JPN,0,0,0,,,0
11,Yamada,JPN,0,0,1,0.0,0.0,1
11,Fukudome,JPN,0,0,0,,,0
11,Iwasawa,JPN,0,0,0,,,0
11,Tsukasa,JPN,0,0,0,,,0
11,Kitamado,JPN,0,0,1,0.0,0.0,1
11,Akimoto,JPN,0,1,1,0.0,-50.0,2
11,Örge,TUR,0,0,0,,,0
11,Aköz,TUR,0,0,0,,,0
11,Özbay,TUR,0,1,4,0.0,-20.0,5
11,S. Sahin,TUR,0,0,0,,,0
11,Baladın,TUR,0,2,4,0.0,-33.33,6
11,Özdemir,TUR,0,1,0,0.0,-100.0,1
11,Uyanık,TUR,0,0,0,,,0
11,Ozden,TUR,0,0,0,,,0
11,Karutasu,TUR,0,3,1,0.0,-75.0,4
11,Karakurt,TUR,0,0,1,0.0,0.0,1
11,Shiode,JPN,0,1,0,0.0,-100.0,1
