RankRank,Player NamePlayer,TeamTeam,Digsgreat-save,ErrorsSE,ReceptionsRec,Average per matchaverage-per-match,Success %Success %,TotalTA
1,De Gennaro,ITA,40,10,17,13.33,59.7,67
2,Szczygłowska,POL,39,13,21,13.0,53.42,73
3,Marcelle,BRA,29,16,23,9.67,42.65,68
3,Ishikawa,JPN,29,13,19,9.67,47.54,61
4,Wada,JPN,24,7,19,8.0,48.0,50
5,Sylla,ITA,22,6,15,7.33,51.16,43
6,Sato,JPN,21,10,16,7.0,44.68,47
7,Czyrniańska,POL,19,12,10,6.33,46.34,41
7,Gabi,BRA,19,8,19,6.33,41.3,46
8,Degradi,ITA,18,4,8,6.0,60.0,30
9,Orro,ITA,17,7,22,5.67,36.96,46
9,Łukasik,POL,17,9,12,5.67,44.74,38
9,Bergmann,BRA,17,11,11,5.67,43.59,39
10,Seki,JPN,15,12,22,5.0,30.61,49
11,Rodriguez,USA,14,3,4,14.0,66.67,21
11,Kojima,JPN,14,4,5,4.67,60.87,23
12,Fukudome,JPN,13,11,6,4.33,43.33,30
13,Örge,TUR,12,3,2,12.0,70.59,17
14,Stysiak,POL,11,5,14,3.67,36.67,30
15,Egonu,ITA,10,3,7,3.33,50.0,20
15,Zhuang Y.S.,CHN,10,4,7,10.0,47.62,21
16,Danesi,ITA,9,3,5,3.0,52.94,17
17,Fahr,ITA,8,3,5,2.67,50.0,16
17,Gong X.Y.,CHN,8,4,7,8.0,42.11,19
17,Alsmeier,GER,8,2,8,8.0,44.44,18
17,Baladın,TUR,8,4,5,8.0,47.06,17
17,Erkek,TUR,8,2,1,8.0,72.73,11
18,A. Skinner,USA,7,4,2,7.0,53.85,13
18,Rosamaria,BRA,7,7,10,2.33,29.17,24
19,Poulter,USA,6,2,5,6.0,46.15,13
19,Wu M.J.,CHN,6,7,5,6.0,33.33,18
19,Ni F.F.,CHN,6,5,13,6.0,25.0,24
19,Güneş,TUR,6,1,3,6.0,60.0,10
20,Giovannini,ITA,5,0,1,1.67,83.33,6
20,Franklin,USA,5,0,3,5.0,62.5,8
20,Diana,BRA,5,6,7,1.67,27.78,18
20,Shimamura,JPN,5,5,7,1.67,29.41,17
20,Aköz,TUR,5,2,2,5.0,55.56,9
20,Vargas,TUR,5,2,3,5.0,50.0,10
21,Antropova,ITA,4,2,4,1.33,40.0,10
21,Korneluk,POL,4,4,5,1.33,30.77,13
21,Grabka,POL,4,2,3,1.33,44.44,9
21,Wang M.J.,CHN,4,0,0,4.0,100.0,4
21,Özbay,TUR,4,4,2,4.0,40.0,10
21,Kalaç,TUR,4,0,2,4.0,66.67,6
22,Nervini,ITA,3,0,6,1.0,33.33,9
22,Samedy,USA,3,0,2,3.0,60.0,5
22,Damaske,POL,3,2,6,1.0,27.27,11
22,Jurczyk,POL,3,2,7,1.0,25.0,12
22,Wang Y.Y.,CHN,3,2,3,3.0,37.5,8
22,Julia,BRA,3,5,6,1.0,21.43,14
22,Stigrot,GER,3,2,4,3.0,33.33,9
23,Cambi,ITA,2,0,0,0.67,100.0,2
23,Rettke,USA,2,1,1,2.0,50.0,4
23,Smarzek,POL,2,1,3,0.67,33.33,6
23,Wenerska,POL,2,7,20,0.67,6.9,29
23,Pogany,GER,2,3,4,2.0,22.22,9
23,Kindermann,GER,2,0,2,2.0,50.0,4
23,Araki,JPN,2,1,0,0.67,66.67,3
23,Airi,JPN,2,5,7,0.67,14.29,14
24,M. Skinner,USA,1,0,0,1.0,100.0,1
24,Igiede,USA,1,1,2,1.0,25.0,4
24,Lanier,USA,1,0,2,1.0,33.33,3
24,Łysiak,POL,1,2,0,0.33,33.33,3
24,Chen H. Y.,CHN,1,0,1,1.0,50.0,2
24,Macris,BRA,1,4,22,0.33,3.7,27
24,Helena,BRA,1,0,2,0.33,33.33,3
24,Weske,GER,1,1,1,1.0,33.33,3
24,Cekulaev,GER,1,2,1,1.0,25.0,4
24,Weitzel,GER,1,1,1,1.0,33.33,3
24,Tsukasa,JPN,1,0,1,0.5,50.0,2
