RankRank,Player NamePlayer,TeamTeam,SuccesfulSuccesful,ErrorsSE,AttempsAtt,Average per matchaverage-per-match,Success %Success %,TotalTA
1,Sato,JPN,32,2,71,10.67,30.48,105
2,Ishikawa,JPN,26,1,51,8.67,33.33,78
3,Gabi,BRA,24,1,38,8.0,38.1,63
4,Bergmann,BRA,23,7,80,7.67,20.91,110
5,Czyrniańska,POL,21,3,75,7.0,21.21,99
6,Szczygłowska,POL,19,1,27,6.33,40.43,47
7,Marcelle,BRA,18,3,26,6.0,38.3,47
8,Degradi,ITA,14,2,48,4.67,21.88,64
8,Kojima,JPN,14,2,49,4.67,21.54,65
9,Łukasik,POL,13,2,40,4.33,23.64,55
10,Aköz,TUR,10,0,5,10.0,66.67,15
11,Sylla,ITA,9,3,58,3.0,12.86,70
11,Rodriguez,USA,9,1,10,9.0,45.0,20
11,Gong X.Y.,CHN,9,0,10,9.0,47.37,19
11,Örge,TUR,9,1,15,9.0,36.0,25
12,De Gennaro,ITA,8,0,13,2.67,38.1,21
12,Nervini,ITA,8,1,18,2.67,29.63,27
13,Stigrot,GER,6,3,22,6.0,19.35,31
14,Alsmeier,GER,5,0,11,5.0,31.25,16
14,Baladın,TUR,5,1,16,5.0,22.73,22
15,Damaske,POL,4,1,14,1.33,21.05,19
15,Zhuang Y.S.,CHN,4,2,21,4.0,14.81,27
15,Pogany,GER,4,0,6,4.0,40.0,10
15,Kitamado,JPN,4,1,6,1.33,36.36,11
16,Giovannini,ITA,3,1,6,1.0,30.0,10
16,Franklin,USA,3,1,19,3.0,13.04,23
16,Wu M.J.,CHN,3,1,23,3.0,11.11,27
16,Orthmann,GER,3,0,5,3.0,37.5,8
17,Łysiak,POL,2,0,1,0.67,66.67,3
17,Jurczyk,POL,2,0,1,0.67,66.67,3
17,Ni F.F.,CHN,2,2,9,2.0,15.38,13
17,Erkek,TUR,2,1,11,2.0,14.29,14
18,A. Skinner,USA,1,2,15,1.0,5.56,18
18,Lanier,USA,1,1,4,1.0,16.67,6
18,Stautz,GER,1,0,2,1.0,33.33,3
18,Shimamura,JPN,1,0,2,0.33,33.33,3
18,Airi,JPN,1,0,0,0.33,100.0,1
19,Gray,ITA,0,0,0,,,0
