RankRank,Player NamePlayer,TeamTeam,PointsPts,Attack PointsA Pts,Block PointsB Pts,Serve PointsS Pts
1,Gabi,BRA,52,44,7,1
2,Ishikawa,JPN,50,46,1,3
3,Egonu,ITA,49,43,2,4
4,Stysiak,POL,48,43,5,0
5,Bergmann,BRA,43,39,3,1
5,Wada,JPN,43,42,1,0
6,Korneluk,POL,40,22,17,1
7,Sato,JPN,37,32,3,2
8,Czyrniańska,POL,34,29,2,3
9,Antropova,ITA,33,25,6,2
9,Julia,BRA,33,21,11,1
9,Shimamura,JPN,33,28,5,0
10,Sylla,ITA,30,26,3,1
10,Diana,BRA,30,18,10,2
11,Fahr,ITA,27,20,7,0
11,Rosamaria,BRA,27,25,1,1
12,Łukasik,POL,25,23,1,1
12,Wu M.J.,CHN,25,23,1,1
13,Danesi,ITA,23,11,11,1
14,Vargas,TUR,22,19,3,0
15,Degradi,ITA,20,20,0,0
15,Zhuang Y.S.,CHN,20,18,1,1
15,Airi,JPN,20,13,4,3
16,Erkek,TUR,17,14,1,2
17,Smarzek,POL,13,10,2,1
18,Damaske,POL,12,9,2,1
18,Gong X.Y.,CHN,12,10,2,0
18,Güneş,TUR,12,10,2,0
19,A. Skinner,USA,11,11,0,0
19,Jurczyk,POL,11,5,6,0
19,Wang Y.Y.,CHN,11,6,5,0
19,Alsmeier,GER,11,11,0,0
19,Kalaç,TUR,11,4,7,0
20,Orro,ITA,10,6,1,3
21,Nervini,ITA,8,8,0,0
21,Franklin,USA,8,7,1,0
21,Stigrot,GER,8,8,0,0
21,Cekulaev,GER,8,3,3,2
21,Seki,JPN,8,4,2,2
21,Akimoto,JPN,8,8,0,0
22,Rettke,USA,7,5,1,1
22,Samedy,USA,7,6,0,1
23,Chen H. Y.,CHN,6,6,0,0
24,M. Skinner,USA,5,4,0,1
24,Igiede,USA,5,3,2,0
24,Kindermann,GER,5,5,0,0
24,Weitzel,GER,5,4,0,1
25,Roberta,BRA,4,2,1,1
25,Kisy,BRA,4,3,1,0
25,Karutasu,TUR,4,4,0,0
25,Karakurt,TUR,4,4,0,0
26,Gryka,POL,3,2,1,0
26,Straube,GER,3,0,2,1
27,Poulter,USA,2,0,2,0
27,Wenerska,POL,2,1,0,1
27,Macris,BRA,2,0,2,0
27,Helena,BRA,2,1,1,0
27,Orthmann,GER,2,1,0,1
27,Weske,GER,2,2,0,0
27,Araki,JPN,2,1,1,0
27,Özbay,TUR,2,2,0,0
28,Cambi,ITA,1,0,1,0
28,Eggleston,USA,1,0,0,1
28,Grabka,POL,1,1,0,0
28,Tang X.,CHN,1,0,1,0
28,Yin X. L.,CHN,1,0,1,0
28,Zhang Z.X.,CHN,1,1,0,0
28,Stautz,GER,1,1,0,0
28,Schölzel,GER,1,1,0,0
28,Yamada,JPN,1,1,0,0
29,Gray,ITA,0,0,0,0
29,De Gennaro,ITA,0,0,0,0
29,Fersino,ITA,0,0,0,0
29,Nwakalor L.,ITA,0,0,0,0
29,Giovannini,ITA,0,0,0,0
29,Hentz,USA,0,0,0,0
29,Rodriguez,USA,0,0,0,0
29,Butler,USA,0,0,0,0
29,Lanier,USA,0,0,0,0
29,Jimerson,USA,0,0,0,0
29,Ka'aha'aina-Torres,USA,0,0,0,0
29,Piasecka,POL,0,0,0,0
29,Szczygłowska,POL,0,0,0,0
29,Łysiak,POL,0,0,0,0
29,Centka-Tietianiec,POL,0,0,0,0
29,Wan Z. Y.,CHN,0,0,0,0
29,Fan B. N.,CHN,0,0,0,0
29,Dong Y. H.,CHN,0,0,0,0
29,Wang A. Q.,CHN,0,0,0,0
29,Ni F.F.,CHN,0,0,0,0
29,Wang M.J.,CHN,0,0,0,0
29,Lorena,BRA,0,0,0,0
29,Jheovana,BRA,0,0,0,0
29,Tainara,BRA,0,0,0,0
29,Lais,BRA,0,0,0,0
29,Marcelle,BRA,0,0,0,0
29,Cesar,GER,0,0,0,0
29,Pogany,GER,0,0,0,0
29,Glaab,GER,0,0,0,0
29,Strubbe,GER,0,0,0,0
29,Kojima,JPN,0,0,0,0
29,Fukudome,JPN,0,0,0,0
29,Iwasawa,JPN,0,0,0,0
29,Tsukasa,JPN,0,0,0,0
29,Kitamado,JPN,0,0,0,0
29,Örge,TUR,0,0,0,0
29,Aköz,TUR,0,0,0,0
29,S. Sahin,TUR,0,0,0,0
29,Baladın,TUR,0,0,0,0
29,Özdemir,TUR,0,0,0,0
29,Uyanık,TUR,0,0,0,0
29,Ozden,TUR,0,0,0,0
29,Shiode,JPN,0,0,0,0
