RankRank,Player NamePlayer,TeamTeam,Pointsserve-points,ErrorsSE,AttempsAtt,Average per matchaverage-per-match,Success %Success %,TotalTA
1,Egonu,ITA,4,8,14,1.33,15.38,26
2,Orro,ITA,3,3,28,1.0,8.82,34
2,Czyrniańska,POL,3,9,38,1.0,6.0,50
2,Ishikawa,JPN,3,8,46,1.0,5.26,57
2,Airi,JPN,3,3,39,1.0,6.67,45
3,Antropova,ITA,2,3,10,0.67,13.33,15
3,Diana,BRA,2,5,46,0.67,3.77,53
3,Cekulaev,GER,2,0,6,2.0,25.0,8
3,Seki,JPN,2,4,35,0.67,4.88,41
3,Sato,JPN,2,10,26,0.67,5.26,38
3,Erkek,TUR,2,0,14,2.0,12.5,16
4,Danesi,ITA,1,1,40,0.33,2.38,42
4,Sylla,ITA,1,3,26,0.33,3.33,30
4,M. Skinner,USA,1,0,6,1.0,14.29,7
4,Rettke,USA,1,0,11,1.0,8.33,12
4,Eggleston,USA,1,0,6,1.0,14.29,7
4,Samedy,USA,1,2,4,1.0,14.29,7
4,Korneluk,POL,1,7,31,0.33,2.56,39
4,Łukasik,POL,1,1,28,0.33,3.33,30
4,Smarzek,POL,1,1,4,0.33,16.67,6
4,Damaske,POL,1,0,5,0.33,16.67,6
4,Wenerska,POL,1,7,32,0.33,2.5,40
4,Wu M.J.,CHN,1,2,17,1.0,5.0,20
4,Zhuang Y.S.,CHN,1,2,9,1.0,8.33,12
4,Rosamaria,BRA,1,2,33,0.33,2.78,36
4,Julia,BRA,1,3,31,0.33,2.86,35
4,Roberta,BRA,1,3,29,0.33,3.03,33
4,Gabi,BRA,1,2,39,0.33,2.38,42
4,Bergmann,BRA,1,2,43,0.33,2.17,46
4,Orthmann,GER,1,0,1,1.0,50.0,2
4,Weitzel,GER,1,1,11,1.0,7.69,13
4,Straube,GER,1,2,4,1.0,14.29,7
5,Gray,ITA,0,0,0,,,0
5,Degradi,ITA,0,1,29,0.0,0.0,30
5,Cambi,ITA,0,1,12,0.0,0.0,13
5,De Gennaro,ITA,0,0,0,,,0
5,Fersino,ITA,0,0,0,,,0
5,Nwakalor L.,ITA,0,0,0,,,0
5,Nervini,ITA,0,1,10,0.0,0.0,11
5,Fahr,ITA,0,3,32,0.0,0.0,35
5,Giovannini,ITA,0,1,10,0.0,0.0,11
5,Poulter,USA,0,0,10,0.0,0.0,10
5,A. Skinner,USA,0,0,11,0.0,0.0,11
5,Hentz,USA,0,0,0,,,0
5,Rodriguez,USA,0,0,0,,,0
5,Butler,USA,0,0,0,,,0
